facing_vig,person_vig,text_vig,facing_train,person_train,food_train,correct_key_train,facing_exp,person_exp,food_exp,showL_R,consistent,vig_random.thisRepN,vig_random.thisTrialN,vig_random.thisN,vig_random.thisIndex,trainTrials.thisRepN,trainTrials.thisTrialN,trainTrials.thisN,trainTrials.thisIndex,expBlock.thisRepN,expBlock.thisTrialN,expBlock.thisN,expBlock.thisIndex,breakLoop.thisRepN,breakLoop.thisTrialN,breakLoop.thisN,breakLoop.thisIndex,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,train_resp.keys,train_resp.corr,train_resp.rt,train_resp.started,train_resp.stopped,exp_resp.keys,exp_resp.rt,exp_resp.started,exp_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
C,U,"did not report her food preferences, so her food preferences are unknown.",,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,001,34,2019_Oct_16_1400,ACPT_experiment_5_30_19,3.1.0,59.95582276227594,
C,D,"is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,34,2019_Oct_16_1400,ACPT_experiment_5_30_19,3.1.0,59.95582276227594,
C,G,"cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,001,34,2019_Oct_16_1400,ACPT_experiment_5_30_19,3.1.0,59.95582276227594,
,,,C,U,y,n,,,,,,,,,,0,0,0,8,,,,,,,,,,,,,b,0,3.636150663434819,1084.0686438014982,None,,,,,001,34,2019_Oct_16_1400,ACPT_experiment_5_30_19,3.1.0,59.95582276227594,
,,,C,D,y,b,,,,,,,,,,0,1,1,11,,,,,,,,,,,,,b,1,2.2016954631981207,1090.9905944776692,None,,,,,001,34,2019_Oct_16_1400,ACPT_experiment_5_30_19,3.1.0,59.95582276227594,
,,,C,U,d,n,,,,,,,,,,0,2,2,15,,,,,,,,,,,,,b,0,5.971241903851478,1096.4781134983532,None,,,,,001,34,2019_Oct_16_1400,ACPT_experiment_5_30_19,3.1.0,59.95582276227594,
,,,C,D,d,v,,,,,,,,,,0,3,3,18,,,,,,,,,,,,,b,0,4.286634341944591,1105.7351520945303,None,,,,,001,34,2019_Oct_16_1400,ACPT_experiment_5_30_19,3.1.0,59.95582276227594,
,,,C,D,y,b,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,b,1,1.8847846908447536,1113.3076172384972,None,,,,,001,34,2019_Oct_16_1400,ACPT_experiment_5_30_19,3.1.0,59.95582276227594,
,,,C,G,y,b,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,b,1,2.6187043084773904,1118.4782052624923,None,,,,,001,34,2019_Oct_16_1400,ACPT_experiment_5_30_19,3.1.0,59.95582276227594,
,,,C,U,y,n,,,,,,,,,,0,6,6,17,,,,,,,,,,,,,b,0,1.484491105973575,1124.3827204505124,None,,,,,001,34,2019_Oct_16_1400,ACPT_experiment_5_30_19,3.1.0,59.95582276227594,
