facing_vig,person_vig,text_vig,facing_train,person_train,food_train,correct_key_train,facing_exp,person_exp,food_exp,showL_R,consistent,vig_random.thisRepN,vig_random.thisTrialN,vig_random.thisN,vig_random.thisIndex,trainTrials.thisRepN,trainTrials.thisTrialN,trainTrials.thisN,trainTrials.thisIndex,expBlock.thisRepN,expBlock.thisTrialN,expBlock.thisN,expBlock.thisIndex,breakLoop.thisRepN,breakLoop.thisTrialN,breakLoop.thisN,breakLoop.thisIndex,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,train_resp.keys,train_resp.corr,train_resp.rt,train_resp.started,train_resp.stopped,exp_resp.keys,exp_resp.rt,exp_resp.started,exp_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
C,D,"is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2019_Oct_17_1220,ACPT_experiment_5_30_19,3.1.0,59.951952049586346,
C,U,"did not report her food preferences, so her food preferences are unknown.",,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2019_Oct_17_1220,ACPT_experiment_5_30_19,3.1.0,59.951952049586346,
C,G,"cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2019_Oct_17_1220,ACPT_experiment_5_30_19,3.1.0,59.951952049586346,
,,,C,G,g,v,,,,,,,,,,0,0,0,13,,,,,,,,,,,,,v,1,2.435013099257958,203.4520957152945,None,,,,,001,39,2019_Oct_17_1220,ACPT_experiment_5_30_19,3.1.0,59.951952049586346,
,,,C,U,g,n,,,,,,,,,,0,1,1,16,,,,,,,,,,,,,b,0,1.200942832657347,209.17299955958515,None,,,,,001,39,2019_Oct_17_1220,ACPT_experiment_5_30_19,3.1.0,59.951952049586346,
,,,C,D,y,b,,,,,,,,,,0,2,2,11,,,,,,,,,,,,,n,0,1.6675640994299101,213.67689854723358,None,,,,,001,39,2019_Oct_17_1220,ACPT_experiment_5_30_19,3.1.0,59.951952049586346,
,,,C,G,g,v,,,,,,,,,,0,3,3,19,,,,,,,,,,,,,v,1,3.3359528831197167,218.630373918244,None,,,,,001,39,2019_Oct_17_1220,ACPT_experiment_5_30_19,3.1.0,59.951952049586346,
,,,C,G,y,b,,,,,,,,,,0,4,4,14,,,,,,,,,,,,,b,1,1.0508234315375375,225.25221392406365,None,,,,,001,39,2019_Oct_17_1220,ACPT_experiment_5_30_19,3.1.0,59.951952049586346,
,,,C,U,d,n,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,b,0,2.4019164551382346,229.5889018387261,None,,,,,001,39,2019_Oct_17_1220,ACPT_experiment_5_30_19,3.1.0,59.951952049586346,
,,,C,D,g,b,,,,,,,,,,0,6,6,10,,,,,,,,,,,,,b,1,4.270014063704366,235.27669696445628,None,,,,,001,39,2019_Oct_17_1220,ACPT_experiment_5_30_19,3.1.0,59.951952049586346,
,,,C,U,y,n,,,,,,,,,,0,7,7,17,,,,,,,,,,,,,b,0,1.7847320515711544,242.8325869820028,None,,,,,001,39,2019_Oct_17_1220,ACPT_experiment_5_30_19,3.1.0,59.951952049586346,
,,,C,G,d,b,,,,,,,,,,0,8,8,12,,,,,,,,,,,,,b,1,2.4352367782621513,247.90320525069183,None,,,,,001,39,2019_Oct_17_1220,ACPT_experiment_5_30_19,3.1.0,59.951952049586346,
,,,C,U,y,n,,,,,,,,,,0,9,9,8,,,,,,,,,,,,,n,1,3.6028191402820084,253.6243345851517,None,,,,,001,39,2019_Oct_17_1220,ACPT_experiment_5_30_19,3.1.0,59.951952049586346,
,,,C,G,y,b,,,,,,,,,,0,10,10,5,,,,,,,,,,,,,b,1,1.517861870215711,260.51304024441106,None,,,,,001,39,2019_Oct_17_1220,ACPT_experiment_5_30_19,3.1.0,59.951952049586346,
,,,C,D,d,v,,,,,,,,,,0,11,11,18,,,,,,,,,,,,,v,1,3.052389486422726,265.31679135035483,None,,,,,001,39,2019_Oct_17_1220,ACPT_experiment_5_30_19,3.1.0,59.951952049586346,
