facing_vig,person_vig,text_vig,facing_train,person_train,food_train,correct_key_train,vig_random.thisRepN,vig_random.thisTrialN,vig_random.thisN,vig_random.thisIndex,trainTrials.thisRepN,trainTrials.thisTrialN,trainTrials.thisN,trainTrials.thisIndex,train_resp.keys,train_resp.corr,train_resp.rt,train_resp.started,train_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
C,D,"is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.",,,,,0,0,0,1,,,,,,,,,,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
C,U,"did not report her food preferences, so her food preferences are unknown.",,,,,0,1,1,2,,,,,,,,,,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
C,G,"cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.",,,,,0,2,2,0,,,,,,,,,,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,U,y,n,,,,,0,0,0,8,b,0,2.6018536406309067,93.79626132565681,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,G,g,v,,,,,0,1,1,19,v,1,1.250978015184046,99.6840887192584,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,U,y,n,,,,,0,2,2,17,v,0,1.968036411142748,104.2375867535693,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,G,d,b,,,,,0,3,3,12,b,1,2.9689510364542,109.49158937126867,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,D,g,b,,,,,0,4,4,10,b,1,2.88555773428925,115.74637047698161,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,U,d,n,,,,,0,5,5,6,b,0,1.6179374625698983,121.91775465824958,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,U,d,n,,,,,0,6,6,15,b,0,1.3343670913591268,126.80482559936627,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,D,d,v,,,,,0,7,7,9,v,1,2.081587898208454,131.44504580974808,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,G,y,b,,,,,0,8,8,5,b,1,1.4678190744352833,136.84581590614926,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,D,d,v,,,,,0,9,9,0,v,1,2.3682163780113115,141.61642636873785,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,G,y,b,,,,,0,10,10,14,b,1,2.9189243523360346,147.2704758345726,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,G,g,v,,,,,0,11,11,4,v,1,2.0182451147538814,153.45852068562453,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,G,g,v,,,,,0,12,12,13,v,1,1.2009401623745362,158.74590591976903,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,D,y,b,,,,,0,13,13,11,b,1,1.2843132401530966,163.24937515696547,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,D,g,b,,,,,0,14,14,1,b,1,2.8355138443484975,167.81952299422392,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,D,d,v,,,,,0,15,15,18,v,1,1.7347019106309745,173.92417575053605,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,D,y,b,,,,,0,16,16,2,b,1,1.2174852211037432,178.92801838427022,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,U,g,n,,,,,0,17,17,7,v,0,6.121088542974576,183.44841151015225,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,U,g,n,,,,,0,18,18,16,b,0,1.951655260514599,192.83850645007078,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,G,d,b,,,,,0,19,19,3,b,1,2.6353850723489813,198.0760026466778,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,G,y,b,,,,,1,0,20,14,b,1,1.0174497227753818,203.9971924323354,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,G,g,v,,,,,1,1,21,19,v,1,3.535633560652059,208.31754583389647,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,G,y,b,,,,,1,2,22,5,b,1,3.2025173627880577,215.12234758659633,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,D,y,b,,,,,1,3,23,2,b,1,3.419292617312749,221.6106581921449,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,D,d,v,,,,,1,4,24,18,v,1,2.235076514594766,228.29908338243513,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,U,d,n,,,,,1,5,25,15,b,0,4.736984549775116,233.81997276046604,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,U,y,n,,,,,1,6,26,17,b,0,1.667958109556821,241.84279371848606,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,D,d,v,,,,,1,7,27,9,v,1,2.6353588108304393,246.7965867270059,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,D,d,v,,,,,1,8,28,0,v,1,0.934057628035589,252.70109803334435,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,G,g,v,,,,,1,9,29,13,v,1,3.0354608987108804,256.93790961932245,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,U,g,n,,,,,1,10,30,16,b,0,6.521674506886484,263.25917523134285,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,G,d,b,,,,,1,11,31,3,b,1,1.28431927728343,273.06668192048346,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,G,g,v,,,,,1,12,32,4,v,1,3.3856715342035386,277.6371041453358,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,U,g,n,,,,,1,13,33,7,b,0,2.852189003246167,284.3086045413711,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,U,d,n,,,,,1,14,34,6,v,0,1.6179359532870876,290.4466073136218,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,U,y,n,,,,,1,15,35,8,b,0,1.718027355446793,295.3503552247739,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,D,g,b,,,,,1,16,36,1,b,1,2.5853125060366438,300.35421476247484,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,D,y,b,,,,,1,17,37,11,b,1,0.9840855195798213,306.225367902749,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,D,g,b,,,,,1,18,38,10,b,1,2.535039506983594,310.51221553039795,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,G,d,b,,,,,1,19,39,12,b,1,5.704370460077371,316.3330908419139,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
,,,C,U,g,n,,,,,2,0,40,16,v,0,4.30330967583086,325.3232995213766,None,001,6,2019_Jun_05_1437,ACPT_experiment_5_30_19,3.1.0,60.06262203937307,
