facing_vig,person_vig,text_vig,facing_train,person_train,food_train,correct_key_train,facing_exp,person_exp,food_exp,showL_R,consistent,vig_random.thisRepN,vig_random.thisTrialN,vig_random.thisN,vig_random.thisIndex,trainTrials.thisRepN,trainTrials.thisTrialN,trainTrials.thisN,trainTrials.thisIndex,expBlock.thisRepN,expBlock.thisTrialN,expBlock.thisN,expBlock.thisIndex,breakLoop.thisRepN,breakLoop.thisTrialN,breakLoop.thisN,breakLoop.thisIndex,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,train_resp.keys,train_resp.corr,train_resp.rt,train_resp.started,train_resp.stopped,exp_resp.keys,exp_resp.rt,exp_resp.started,exp_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
C,G,"cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,001,100,2019_Nov_13_1004,ACPT_experiment_5_30_19,3.1.0,59.95509965482558,
C,D,"is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,100,2019_Nov_13_1004,ACPT_experiment_5_30_19,3.1.0,59.95509965482558,
C,U,"did not report her food preferences, so her food preferences are unknown.",,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,001,100,2019_Nov_13_1004,ACPT_experiment_5_30_19,3.1.0,59.95509965482558,
,,,C,G,d,b,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,v,0,1.36770905872595,1066.0943097220197,None,,,,,001,100,2019_Nov_13_1004,ACPT_experiment_5_30_19,3.1.0,59.95509965482558,
,,,C,D,g,b,,,,,,,,,,0,1,1,10,,,,,,,,,,,,,v,0,1.7013107401728575,1070.7478252181422,None,,,,,001,100,2019_Nov_13_1004,ACPT_experiment_5_30_19,3.1.0,59.95509965482558,
,,,C,G,y,b,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,n,0,1.3010126292651876,1075.7349339438026,None,,,,,001,100,2019_Nov_13_1004,ACPT_experiment_5_30_19,3.1.0,59.95509965482558,
,,,C,G,d,b,,,,,,,,,,0,3,3,12,,,,,,,,,,,,,v,0,1.3009854624144737,1080.305073469729,None,,,,,001,100,2019_Nov_13_1004,ACPT_experiment_5_30_19,3.1.0,59.95509965482558,
,,,C,G,g,v,,,,,,,,,,0,4,4,13,,,,,,,,,,,,,b,0,1.0508116700339087,1084.8751867343665,None,,,,,001,100,2019_Nov_13_1004,ACPT_experiment_5_30_19,3.1.0,59.95509965482558,
,,,C,G,g,v,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,v,1,1.5509093197690618,1089.2120786232806,None,,,,,001,100,2019_Nov_13_1004,ACPT_experiment_5_30_19,3.1.0,59.95509965482558,
,,,C,U,d,n,,,,,,,,,,0,6,6,15,,,,,,,,,,,,,b,0,1.3510376680458194,1094.0487995119627,None,,,,,001,100,2019_Nov_13_1004,ACPT_experiment_5_30_19,3.1.0,59.95509965482558,
