facing_vig,person_vig,text_vig,facing_train,person_train,food_train,correct_key_train,facing_exp,person_exp,food_exp,showL_R,consistent,vig_random.thisRepN,vig_random.thisTrialN,vig_random.thisN,vig_random.thisIndex,trainTrials.thisRepN,trainTrials.thisTrialN,trainTrials.thisN,trainTrials.thisIndex,expBlock.thisRepN,expBlock.thisTrialN,expBlock.thisN,expBlock.thisIndex,breakLoop.thisRepN,breakLoop.thisTrialN,breakLoop.thisN,breakLoop.thisIndex,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,train_resp.keys,train_resp.corr,train_resp.rt,train_resp.started,train_resp.stopped,exp_resp.keys,exp_resp.rt,exp_resp.started,exp_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
C,G,"cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
C,U,"did not report her food preferences, so her food preferences are unknown.",,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
C,D,"is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,U,d,n,,,,,,,,,,0,0,0,15,,,,,,,,,,,,,n,1,4.469995761934115,436.99322030214626,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,D,g,b,,,,,,,,,,0,1,1,10,,,,,,,,,,,,,b,1,3.869647781716594,444.7491895151943,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,D,d,v,,,,,,,,,,0,2,2,9,,,,,,,,,,,,,b,0,2.101625135232098,451.90466525317333,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,U,d,n,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,n,1,1.234185434093888,457.2921068741189,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,G,g,v,,,,,,,,,,0,4,4,19,,,,,,,,,,,,,v,1,3.2856157511159836,461.8291854220197,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,G,g,v,,,,,,,,,,0,5,5,13,,,,,,,,,,,,,v,1,3.0523512813206253,468.3839536686437,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,G,d,b,,,,,,,,,,0,6,6,12,,,,,,,,,,,,,b,1,1.2509638279279898,474.70546619931247,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,G,g,v,,,,,,,,,,0,7,7,4,,,,,,,,,,,,,v,1,2.0846677404715592,479.24255018063104,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,D,y,b,,,,,,,,,,0,8,8,11,,,,,,,,,,,,,n,0,1.1675735443268422,484.6130564423429,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,U,g,n,,,,,,,,,,0,9,9,7,,,,,,,,,,,,,n,1,1.78470535179531,489.0664709227631,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,U,y,n,,,,,,,,,,0,10,10,8,,,,,,,,,,,,,n,1,1.8514349656124978,494.1203357127679,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,G,y,b,,,,,,,,,,0,11,11,14,,,,,,,,,,,,,n,0,1.0841941275621139,499.257586862238,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,D,g,b,,,,,,,,,,0,12,12,1,,,,,,,,,,,,,b,1,2.618443072271475,503.6445506442824,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,D,y,b,,,,,,,,,,0,13,13,2,,,,,,,,,,,,,b,1,1.7680256650501178,509.5488301247997,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,G,d,b,,,,,,,,,,0,14,14,3,,,,,,,,,,,,,b,1,1.5178321750090618,514.6026979333692,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,G,y,b,,,,,,,,,,0,15,15,5,,,,,,,,,,,,,b,1,1.5678721408148704,519.406379496455,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,D,d,v,,,,,,,,,,0,16,16,18,,,,,,,,,,,,,v,1,2.1850293042325575,524.2600958937855,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,U,y,n,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,n,1,0.43369328719381883,529.7309302131835,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,U,g,n,,,,,,,,,,0,18,18,16,,,,,,,,,,,,,n,1,0.5668606195540633,533.4673946641424,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,D,d,v,,,,,,,,,,0,19,19,0,,,,,,,,,,,,,b,0,1.6512974397737707,537.3201001439256,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,U,d,n,,,,,,,,,,1,0,20,6,,,,,,,,,,,,,n,1,1.2843304459747742,542.2572152768389,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,D,y,b,,,,,,,,,,1,1,21,11,,,,,,,,,,,,,n,0,0.9338134260960942,546.8443042086046,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,D,d,v,,,,,,,,,,1,2,22,0,,,,,,,,,,,,,v,1,1.017496208681223,551.047260772656,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,G,d,b,,,,,,,,,,1,3,23,12,,,,,,,,,,,,,b,1,1.2343073841357182,555.350597313718,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,G,g,v,,,,,,,,,,1,4,24,4,,,,,,,,,,,,,v,1,1.734673234260299,559.8540327429828,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,D,d,v,,,,,,,,,,1,5,25,9,,,,,,,,,,,,,v,1,2.2850893133118007,564.874547517049,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,D,d,v,,,,,,,,,,1,6,26,18,,,,,,,,,,,,,v,1,1.634597830497114,570.428801701988,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,U,d,n,,,,,,,,,,1,7,27,15,,,,,,,,,,,,,n,1,0.9174183900659045,575.3492314128816,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,U,y,n,,,,,,,,,,1,8,28,17,,,,,,,,,,,,,n,1,0.9671459343553579,579.5527355446939,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,G,y,b,,,,,,,,,,1,9,29,14,,,,,,,,,,,,,b,1,1.3176804619124596,583.8057157742987,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,U,g,n,,,,,,,,,,1,10,30,7,,,,,,,,,,,,,n,1,1.2510051822737296,588.4092305314607,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,G,g,v,,,,,,,,,,1,11,31,13,,,,,,,,,,,,,v,1,1.5678802909415026,592.946045558604,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,U,y,n,,,,,,,,,,1,12,32,8,,,,,,,,,,,,,n,1,1.150899592856149,597.7997556169466,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,D,y,b,,,,,,,,,,1,13,33,2,,,,,,,,,,,,,b,1,0.7973271810951701,602.2564911230029,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,G,d,b,,,,,,,,,,1,14,34,3,,,,,,,,,,,,,b,1,1.501160940247246,606.3396414306553,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,G,g,v,,,,,,,,,,1,15,35,19,,,,,,,,,,,,,v,1,0.833985846550604,611.1099584886888,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,D,g,b,,,,,,,,,,1,16,36,1,,,,,,,,,,,,,b,1,0.7503232883527744,615.2467176120008,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,D,g,b,,,,,,,,,,1,17,37,10,,,,,,,,,,,,,b,1,0.8508203857008994,619.2660563529935,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,G,y,b,,,,,,,,,,1,18,38,5,,,,,,,,,,,,,b,1,1.0672497126324743,623.4196313003495,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,U,g,n,,,,,,,,,,1,19,39,16,,,,,,,,,,,,,n,1,1.2176050581492746,627.7727204397934,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,G,y,b,,,,,,,,,,2,0,40,5,,,,,,,,,,,,,n,0,1.1671669435700096,632.2932264600195,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
,,,C,U,g,n,,,,,,,,,,2,1,41,7,,,,,,,,,,,,,n,1,1.2508784025267232,636.7463402913281,None,,,,,001,96,2019_Nov_07_1201,ACPT_experiment_5_30_19,3.1.0,59.95251331958986,
