facing_vig,person_vig,text_vig,facing_train,person_train,food_train,correct_key_train,facing_exp,person_exp,food_exp,showL_R,consistent,vig_random.thisRepN,vig_random.thisTrialN,vig_random.thisN,vig_random.thisIndex,trainTrials.thisRepN,trainTrials.thisTrialN,trainTrials.thisN,trainTrials.thisIndex,expBlock.thisRepN,expBlock.thisTrialN,expBlock.thisN,expBlock.thisIndex,breakLoop.thisRepN,breakLoop.thisTrialN,breakLoop.thisN,breakLoop.thisIndex,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,train_resp.keys,train_resp.corr,train_resp.rt,train_resp.started,train_resp.stopped,exp_resp.keys,exp_resp.rt,exp_resp.started,exp_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
C,D,"is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,7,2019_Jun_05_1534,ACPT_experiment_5_30_19,3.1.0,59.954195185378616,
C,G,"cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,001,7,2019_Jun_05_1534,ACPT_experiment_5_30_19,3.1.0,59.954195185378616,
C,U,"did not report her food preferences, so her food preferences are unknown.",,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,001,7,2019_Jun_05_1534,ACPT_experiment_5_30_19,3.1.0,59.954195185378616,
,,,C,D,g,b,,,,,,,,,,0,0,0,10,,,,,,,,,,,,,b,1,3.302299446305824,214.1183214044986,None,,,,,001,7,2019_Jun_05_1534,ACPT_experiment_5_30_19,3.1.0,59.954195185378616,
,,,C,U,y,n,,,,,,,,,,0,1,1,17,,,,,,,,,,,,,b,0,1.951550346062504,220.7064287117919,None,,,,,001,7,2019_Jun_05_1534,ACPT_experiment_5_30_19,3.1.0,59.954195185378616,
,,,C,U,y,n,,,,,,,,,,0,2,2,8,,,,,,,,,,,,,n,1,2.1183144618171355,225.92707829926076,None,,,,,001,7,2019_Jun_05_1534,ACPT_experiment_5_30_19,3.1.0,59.954195185378616,
,,,C,G,y,b,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,b,1,1.5511997104599686,231.33120213134316,None,,,,,001,7,2019_Jun_05_1534,ACPT_experiment_5_30_19,3.1.0,59.954195185378616,
,,,C,D,y,b,,,,,,,,,,0,4,4,11,,,,,,,,,,,,,b,1,2.018227557555747,236.16823868093888,None,,,,,001,7,2019_Jun_05_1534,ACPT_experiment_5_30_19,3.1.0,59.954195185378616,
,,,C,G,d,b,,,,,,,,,,0,5,5,12,,,,,,,,,,,,,b,1,3.9863841941100873,241.4722867774217,None,,,,,001,7,2019_Jun_05_1534,ACPT_experiment_5_30_19,3.1.0,59.954195185378616,
,,,C,D,d,v,,,,,,,,,,0,6,6,9,,,,,,,,,,,,,v,1,4.236577004450282,248.74450056613068,None,,,,,001,7,2019_Jun_05_1534,ACPT_experiment_5_30_19,3.1.0,59.954195185378616,
,,,C,D,g,b,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,b,1,1.3677182213091328,256.2669092781698,None,,,,,001,7,2019_Jun_05_1534,ACPT_experiment_5_30_19,3.1.0,59.954195185378616,
