facing_vig,person_vig,text_vig,facing_train,person_train,food_train,correct_key_train,facing_exp,person_exp,food_exp,showL_R,consistent,vig_random.thisRepN,vig_random.thisTrialN,vig_random.thisN,vig_random.thisIndex,trainTrials.thisRepN,trainTrials.thisTrialN,trainTrials.thisN,trainTrials.thisIndex,expBlock.thisRepN,expBlock.thisTrialN,expBlock.thisN,expBlock.thisIndex,breakLoop.thisRepN,breakLoop.thisTrialN,breakLoop.thisN,breakLoop.thisIndex,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,train_resp.keys,train_resp.corr,train_resp.rt,train_resp.started,train_resp.stopped,exp_resp.keys,exp_resp.rt,exp_resp.started,exp_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
C,D,"is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
C,U,"did not report her food preferences, so her food preferences are unknown.",,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
C,G,"cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
,,,C,D,g,b,,,,,,,,,,0,0,0,10,,,,,,,,,,,,,v,0,3.169127013546131,1552.4610101629678,None,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
,,,C,G,y,b,,,,,,,,,,0,1,1,14,,,,,,,,,,,,,b,1,2.552005969550919,1558.9159698769508,None,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
,,,C,U,d,n,,,,,,,,,,0,2,2,15,,,,,,,,,,,,,n,1,6.938725771337886,1564.7538088487972,None,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
,,,C,G,y,b,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,b,1,2.802168973065818,1574.9783881487992,None,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
,,,C,D,y,b,,,,,,,,,,0,4,4,11,,,,,,,,,,,,,b,1,1.084165657453923,1581.0664112542463,None,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
,,,C,U,d,n,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,b,0,1.5843165866335767,1585.4533858244904,None,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
,,,C,U,y,n,,,,,,,,,,0,6,6,8,,,,,,,,,,,,,n,1,4.503512423886605,1590.306863474293,None,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
,,,C,D,y,b,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,b,1,1.6846455518752919,1598.0962236915348,None,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
,,,C,D,d,v,,,,,,,,,,0,8,8,18,,,,,,,,,,,,,v,1,1.9515260751286405,1603.0500444939225,None,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
,,,C,G,g,v,,,,,,,,,,0,9,9,19,,,,,,,,,,,,,v,1,3.3525769044545086,1608.287423493999,None,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
,,,C,U,y,n,,,,,,,,,,0,10,10,17,,,,,,,,,,,,,n,1,1.5845722606654817,1614.9258753590611,None,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
,,,C,D,d,v,,,,,,,,,,0,11,11,9,,,,,,,,,,,,,b,0,2.2183776199799468,1619.7963114115746,None,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
,,,C,G,d,b,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,b,1,2.0349367848220936,1625.3005295803086,None,,,,,001,10,2019_Jun_06_1203,ACPT_experiment_5_30_19,3.1.0,59.93696581977111,
