facing_vig,person_vig,text_vig,facing_train,person_train,food_train,correct_key_train,facing_exp,person_exp,food_exp,showL_R,consistent,vig_random.thisRepN,vig_random.thisTrialN,vig_random.thisN,vig_random.thisIndex,trainTrials.thisRepN,trainTrials.thisTrialN,trainTrials.thisN,trainTrials.thisIndex,expBlock.thisRepN,expBlock.thisTrialN,expBlock.thisN,expBlock.thisIndex,breakLoop.thisRepN,breakLoop.thisTrialN,breakLoop.thisN,breakLoop.thisIndex,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,train_resp.keys,train_resp.corr,train_resp.rt,train_resp.started,train_resp.stopped,exp_resp.keys,exp_resp.rt,exp_resp.started,exp_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
C,D,"is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
C,G,"cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
C,U,"did not report her food preferences, so her food preferences are unknown.",,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,D,y,b,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,b,1,3.8362813065868977,1231.804367912613,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,G,y,b,,,,,,,,,,0,1,1,14,,,,,,,,,,,,,b,1,1.3343797664892918,1238.9264576839014,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,D,d,v,,,,,,,,,,0,2,2,18,,,,,,,,,,,,,v,1,3.6193913320930733,1243.563385323956,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,G,g,v,,,,,,,,,,0,3,3,19,,,,,,,,,,,,,v,1,5.470867451833328,1250.46861440075,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,U,y,n,,,,,,,,,,0,4,4,17,,,,,,,,,,,,,n,1,2.001542482721561,1259.2252978636752,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,U,d,n,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,n,1,1.9348293503971945,1264.495977017912,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,G,y,b,,,,,,,,,,0,6,6,5,,,,,,,,,,,,,b,1,2.4352028968496597,1269.7166401888862,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,D,d,v,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,v,1,3.636117761161586,1275.4376711710574,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,D,g,b,,,,,,,,,,0,8,8,1,,,,,,,,,,,,,b,1,2.034877013415098,1282.342965750544,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,U,g,n,,,,,,,,,,0,9,9,16,,,,,,,,,,,,,n,1,1.8514293321059085,1287.6636639065982,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,U,d,n,,,,,,,,,,0,10,10,15,,,,,,,,,,,,,n,1,1.434436485178594,1292.7842407770222,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,G,d,b,,,,,,,,,,0,11,11,12,,,,,,,,,,,,,b,1,2.802151386073092,1297.5045083660807,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,U,y,n,,,,,,,,,,0,12,12,8,,,,,,,,,,,,,n,1,1.7680652346462011,1303.5924914597454,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,D,g,b,,,,,,,,,,0,13,13,10,,,,,,,,,,,,,b,1,2.6687254232856503,1308.6463455384655,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,U,g,n,,,,,,,,,,0,14,14,7,,,,,,,,,,,,,n,1,3.569402817702212,1314.6008905951094,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,D,d,v,,,,,,,,,,0,15,15,9,,,,,,,,,,,,,v,1,2.4518849531268643,1321.4561190832865,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,G,d,b,,,,,,,,,,0,16,16,3,,,,,,,,,,,,,b,1,5.120612187547522,1327.1938269901875,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,G,g,v,,,,,,,,,,0,17,17,13,,,,,,,,,,,,,v,1,5.370777227159124,1335.5835649824403,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,D,y,b,,,,,,,,,,0,18,18,11,,,,,,,,,,,,,n,0,1.984857407886011,1344.240170596775,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,G,g,v,,,,,,,,,,0,19,19,4,,,,,,,,,,,,,v,1,12.476185244024236,1349.510868767924,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,D,d,v,,,,,,,,,,1,0,20,9,,,,,,,,,,,,,v,1,1.9181219382371637,1365.2729002086126,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,U,d,n,,,,,,,,,,1,1,21,15,,,,,,,,,,,,,n,1,1.4511173340324603,1370.476854760007,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,G,g,v,,,,,,,,,,1,2,22,19,,,,,,,,,,,,,v,1,3.7361971190293843,1375.213796557091,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
,,,C,G,d,b,,,,,,,,,,1,3,23,12,,,,,,,,,,,,,b,1,2.7354575725184986,1382.2358229688653,None,,,,,001,36,2019_Oct_16_1557,ACPT_experiment_5_30_19,3.1.0,59.952133714562706,
