facing_vig,person_vig,text_vig,facing_train,person_train,food_train,correct_key_train,facing_exp,person_exp,food_exp,showL_R,consistent,vig_random.thisRepN,vig_random.thisTrialN,vig_random.thisN,vig_random.thisIndex,trainTrials.thisRepN,trainTrials.thisTrialN,trainTrials.thisN,trainTrials.thisIndex,expBlock.thisRepN,expBlock.thisTrialN,expBlock.thisN,expBlock.thisIndex,breakLoop.thisRepN,breakLoop.thisTrialN,breakLoop.thisN,breakLoop.thisIndex,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,train_resp.keys,train_resp.corr,train_resp.rt,train_resp.started,train_resp.stopped,exp_resp.keys,exp_resp.rt,exp_resp.started,exp_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
C,U,"did not report her food preferences, so her food preferences are unknown.",,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
C,G,"cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
C,D,"is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
,,,C,U,d,n,,,,,,,,,,0,0,0,15,,,,,,,,,,,,,b,0,2.3518444395758706,1227.1024486072602,None,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
,,,C,U,g,n,,,,,,,,,,0,1,1,16,,,,,,,,,,,,,v,0,1.7847539046761085,1232.7234421287958,None,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
,,,C,U,d,n,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,v,0,1.5845647607984574,1237.7773318337058,None,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
,,,C,G,g,v,,,,,,,,,,0,3,3,13,,,,,,,,,,,,,v,1,3.1691325401734503,1242.6477338655677,None,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
,,,C,G,g,v,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,v,1,1.8347795323752507,1249.0860013004021,None,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
,,,C,D,d,v,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,v,1,1.2176120540134434,1254.2066229335596,None,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
,,,C,D,y,b,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,b,1,1.667706867438028,1258.727011593137,None,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
,,,C,G,d,b,,,,,,,,,,0,7,7,12,,,,,,,,,,,,,v,0,2.0682741179571167,1263.6805720319408,None,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
,,,C,G,y,b,,,,,,,,,,0,8,8,5,,,,,,,,,,,,,b,1,1.301009230197451,1269.0346864395378,None,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
,,,C,D,g,b,,,,,,,,,,0,9,9,10,,,,,,,,,,,,,b,1,2.4683363609638036,1273.638467747438,None,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
,,,C,G,y,b,,,,,,,,,,0,10,10,14,,,,,,,,,,,,,b,1,1.3010086264821439,1279.3926534537623,None,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
,,,C,D,d,v,,,,,,,,,,0,11,11,9,,,,,,,,,,,,,v,1,2.4352467473363504,1283.996182408835,None,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
,,,C,U,g,n,,,,,,,,,,0,12,12,7,,,,,,,,,,,,,n,1,1.4511286751912849,1289.7172510325036,None,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
,,,C,G,d,b,,,,,,,,,,0,13,13,3,,,,,,,,,,,,,b,1,1.5345270588040876,1294.4541973580235,None,,,,,001,26,2019_Oct_14_1557,ACPT_experiment_5_30_19,3.1.0,59.95461085352911,
