facing_vig,person_vig,text_vig,facing_train,person_train,food_train,correct_key_train,facing_exp,person_exp,food_exp,showL_R,consistent,vig_random.thisRepN,vig_random.thisTrialN,vig_random.thisN,vig_random.thisIndex,trainTrials.thisRepN,trainTrials.thisTrialN,trainTrials.thisN,trainTrials.thisIndex,expBlock.thisRepN,expBlock.thisTrialN,expBlock.thisN,expBlock.thisIndex,breakLoop.thisRepN,breakLoop.thisTrialN,breakLoop.thisN,breakLoop.thisIndex,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,train_resp.keys,train_resp.corr,train_resp.rt,train_resp.started,train_resp.stopped,exp_resp.keys,exp_resp.rt,exp_resp.started,exp_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
C,G,"cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,001,67,2019_Oct_28_1004,ACPT_experiment_5_30_19,3.1.0,59.951588967777006,
C,D,"is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,001,67,2019_Oct_28_1004,ACPT_experiment_5_30_19,3.1.0,59.951588967777006,
C,U,"did not report her food preferences, so her food preferences are unknown.",,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,001,67,2019_Oct_28_1004,ACPT_experiment_5_30_19,3.1.0,59.951588967777006,
,,,C,G,g,v,,,,,,,,,,0,0,0,19,,,,,,,,,,,,,v,1,5.671324922230724,1950.2122082238425,None,,,,,001,67,2019_Oct_28_1004,ACPT_experiment_5_30_19,3.1.0,59.951588967777006,
,,,C,U,y,n,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,n,1,2.4519961904015872,1959.1694921189305,None,,,,,001,67,2019_Oct_28_1004,ACPT_experiment_5_30_19,3.1.0,59.951588967777006,
,,,C,D,y,b,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,b,1,2.5854377944174303,1964.907475959833,None,,,,,001,67,2019_Oct_28_1004,ACPT_experiment_5_30_19,3.1.0,59.951588967777006,
,,,C,U,d,n,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,n,1,2.285217278431446,1970.7955742849076,None,,,,,001,67,2019_Oct_28_1004,ACPT_experiment_5_30_19,3.1.0,59.951588967777006,
,,,C,G,g,v,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,v,1,8.77380010474917,1976.3667571773349,None,,,,,001,67,2019_Oct_28_1004,ACPT_experiment_5_30_19,3.1.0,59.951588967777006,
,,,C,D,d,v,,,,,,,,,,0,5,5,18,,,,,,,,,,,,,v,1,7.656228406866376,1988.4265319521778,None,,,,,001,67,2019_Oct_28_1004,ACPT_experiment_5_30_19,3.1.0,59.951588967777006,
,,,C,U,g,n,,,,,,,,,,0,6,6,16,,,,,,,,,,,,,n,1,1.868195134762118,1999.3687353310079,None,,,,,001,67,2019_Oct_28_1004,ACPT_experiment_5_30_19,3.1.0,59.951588967777006,
